,Price,est_price
0,326,322.8455354439757
1,326,-105.44958896138996
2,327,89.10026749914323
3,334,174.23780211057237
4,335,40.280248157065216
5,336,-27.155084258702118
6,336,61.88138214259379
7,337,420.6256971677467
8,337,-1039.4667002915485
9,338,64.39696709061172
10,339,212.3697445113139
11,340,-21.31971259860802
12,342,-107.12948267677712
13,344,663.4446957552063
14,345,-276.6587473077525
15,345,581.127300000473
16,348,645.2477882479398
17,351,461.54595857749155
18,351,172.28609207253976
19,351,107.10518628528735
20,351,237.73243489621746
21,352,-16.51689323941173
22,353,227.08429588436047
23,353,348.8891950626239
24,353,549.2190314869076
25,354,209.71498565664297
26,355,-6.100493248079147
27,357,329.11810158722074
28,357,-111.46410385222771
29,357,224.27127771906817
30,402,357.3758252261723
31,402,349.51340421272835
32,402,46.027295638810756
33,402,343.42068946929066
34,402,-31.567905286752648
35,402,438.95545481877707
36,402,-471.26434813096785
37,402,374.0783929296267
38,403,155.08691338414792
39,403,687.219455506056
40,403,702.7824880787703
41,403,726.3971344795027
42,403,-249.81905462003488
43,403,151.47435807416332
44,403,394.91726932451274
45,403,126.45639864979603
46,403,749.4588086617005
47,403,230.7930929925933
48,404,-401.7862788969869
49,404,154.92773633517572
50,404,-156.1751460643609
51,404,369.5892962851103
52,404,808.9554444475507
53,404,-95.05686879674613
54,404,-25.086035208594694
55,405,338.8904278379159
56,405,312.87120801393394
57,405,285.0500204814125
58,405,170.6444844089965
59,405,373.07974637240477
60,552,815.1579379273899
61,552,102.05578343713205
62,552,258.0457224329657
63,552,429.8978418856459
64,552,948.3149482384142
65,553,487.13245753120646
66,553,628.4442105316193
67,553,152.61406953806363
68,553,325.4729295010475
69,553,207.13478775158728
70,553,-112.3781712706259
71,554,238.00992049451088
72,554,-22.47308115470878
73,554,252.97179676169617
74,554,26.238818594498298
75,554,300.94147529868496
76,554,418.8130402265306
77,554,413.2270940298804
78,554,-206.85251908033024
79,554,-122.70078553574785
80,554,-211.43810405290787
81,554,-86.6381331489938
82,554,-31.421555165365135
83,554,965.1769894780482
84,554,525.4625916061304
85,554,-149.77690415057077
86,554,102.0469480788779
87,554,68.94993528699342
88,554,132.92571972479345
89,554,212.200517878533
90,2757,2837.808616429418
91,2757,3870.62770090931
92,2757,3116.9487249627964
93,2759,2989.2754514458065
94,2759,3401.8617165413634
95,2759,3556.418587584034
96,2759,2927.7316276397396
97,2759,3623.0382394763037
98,2760,3044.7838119338594
99,2760,3670.926556108072
100,2760,3208.796233494337
101,2760,3839.128423448943
102,2760,3532.720952709202
103,2760,3240.9937039060387
104,2760,3632.477370237135
105,2760,3427.9997011788364
106,2760,3347.068164517106
